,Year,Month,Year-Month,Value
0,2024,1,2024-1,0.42
15,2024,2,2024-2,0.83
30,2024,3,2024-3,0.16
45,2024,4,2024-4,0.38
60,2024,5,2024-5,0.46
75,2024,6,2024-6,0.21
90,2024,7,2024-7,0.38
105,2024,8,2024-8,-0.02
120,2024,9,2024-9,0.44
135,2024,10,2024-10,0.56
150,2024,11,2024-11,0.39
165,2024,12,2024-12,0.52
1,2023,1,2023-1,0.53
16,2023,2,2023-2,0.84
31,2023,3,2023-3,0.71
46,2023,4,2023-4,0.61
61,2023,5,2023-5,0.23
76,2023,6,2023-6,-0.08
91,2023,7,2023-7,0.12
106,2023,8,2023-8,0.23
121,2023,9,2023-9,0.26
136,2023,10,2023-10,0.24
151,2023,11,2023-11,0.28
166,2023,12,2023-12,0.56
2,2022,1,2022-1,0.54
17,2022,2,2022-2,1.01
32,2022,3,2022-3,1.62
47,2022,4,2022-4,1.06
62,2022,5,2022-5,0.47
77,2022,6,2022-6,0.67
92,2022,7,2022-7,-0.68
107,2022,8,2022-8,-0.36
122,2022,9,2022-9,-0.29
137,2022,10,2022-10,0.59
152,2022,11,2022-11,0.41
167,2022,12,2022-12,0.62
3,2021,1,2021-1,0.25
18,2021,2,2021-2,0.86
33,2021,3,2021-3,0.93
48,2021,4,2021-4,0.31
63,2021,5,2021-5,0.83
78,2021,6,2021-6,0.53
93,2021,7,2021-7,0.96
108,2021,8,2021-8,0.87
123,2021,9,2021-9,1.16
138,2021,10,2021-10,1.25
153,2021,11,2021-11,0.95
168,2021,12,2021-12,0.73
4,2020,1,2020-1,0.21
19,2020,2,2020-2,0.25
34,2020,3,2020-3,0.07
49,2020,4,2020-4,-0.31
64,2020,5,2020-5,-0.38
79,2020,6,2020-6,0.26
94,2020,7,2020-7,0.36
109,2020,8,2020-8,0.24
124,2020,9,2020-9,0.64
139,2020,10,2020-10,0.86
154,2020,11,2020-11,0.89
169,2020,12,2020-12,1.35
5,2019,1,2019-1,0.32
20,2019,2,2019-2,0.43
35,2019,3,2019-3,0.75
50,2019,4,2019-4,0.57
65,2019,5,2019-5,0.13
80,2019,6,2019-6,0.01
95,2019,7,2019-7,0.19
110,2019,8,2019-8,0.11
125,2019,9,2019-9,-0.04
140,2019,10,2019-10,0.1
155,2019,11,2019-11,0.51
170,2019,12,2019-12,1.15
6,2018,1,2018-1,0.29
21,2018,2,2018-2,0.32
36,2018,3,2018-3,0.09
51,2018,4,2018-4,0.22
66,2018,5,2018-5,0.4
81,2018,6,2018-6,1.26
96,2018,7,2018-7,0.33
111,2018,8,2018-8,-0.09
126,2018,9,2018-9,0.48
141,2018,10,2018-10,0.45
156,2018,11,2018-11,-0.21
171,2018,12,2018-12,0.15
7,2017,1,2017-1,0.38
22,2017,2,2017-2,0.33
37,2017,3,2017-3,0.25
52,2017,4,2017-4,0.14
67,2017,5,2017-5,0.31
82,2017,6,2017-6,-0.23
97,2017,7,2017-7,0.24
112,2017,8,2017-8,0.19
127,2017,9,2017-9,0.16
142,2017,10,2017-10,0.42
157,2017,11,2017-11,0.28
172,2017,12,2017-12,0.44
8,2016,1,2016-1,1.27
23,2016,2,2016-2,0.9
38,2016,3,2016-3,0.43
53,2016,4,2016-4,0.61
68,2016,5,2016-5,0.78
83,2016,6,2016-6,0.35
98,2016,7,2016-7,0.52
113,2016,8,2016-8,0.44
128,2016,9,2016-9,0.08
143,2016,10,2016-10,0.26
158,2016,11,2016-11,0.18
173,2016,12,2016-12,0.3
9,2015,1,2015-1,1.24
24,2015,2,2015-2,1.22
39,2015,3,2015-3,1.32
54,2015,4,2015-4,0.71
69,2015,5,2015-5,0.74
84,2015,6,2015-6,0.79
99,2015,7,2015-7,0.62
114,2015,8,2015-8,0.22
129,2015,9,2015-9,0.54
144,2015,10,2015-10,0.82
159,2015,11,2015-11,1.01
174,2015,12,2015-12,0.96
10,2014,1,2014-1,0.55
25,2014,2,2014-2,0.69
40,2014,3,2014-3,0.92
55,2014,4,2014-4,0.67
70,2014,5,2014-5,0.46
85,2014,6,2014-6,0.4
100,2014,7,2014-7,0.01
115,2014,8,2014-8,0.25
130,2014,9,2014-9,0.57
145,2014,10,2014-10,0.42
160,2014,11,2014-11,0.51
175,2014,12,2014-12,0.78
11,2013,1,2013-1,0.86
26,2013,2,2013-2,0.6
41,2013,3,2013-3,0.47
56,2013,4,2013-4,0.55
71,2013,5,2013-5,0.37
86,2013,6,2013-6,0.26
101,2013,7,2013-7,0.03
116,2013,8,2013-8,0.24
131,2013,9,2013-9,0.35
146,2013,10,2013-10,0.57
161,2013,11,2013-11,0.54
176,2013,12,2013-12,0.92
12,2012,1,2012-1,0.56
27,2012,2,2012-2,0.45
42,2012,3,2012-3,0.21
57,2012,4,2012-4,0.64
72,2012,5,2012-5,0.36
87,2012,6,2012-6,0.08
102,2012,7,2012-7,0.43
117,2012,8,2012-8,0.41
132,2012,9,2012-9,0.57
147,2012,10,2012-10,0.59
162,2012,11,2012-11,0.6
177,2012,12,2012-12,0.79
13,2011,1,2011-1,0.83
28,2011,2,2011-2,0.8
43,2011,3,2011-3,0.79
58,2011,4,2011-4,0.77
73,2011,5,2011-5,0.47
88,2011,6,2011-6,0.15
103,2011,7,2011-7,0.16
118,2011,8,2011-8,0.37
133,2011,9,2011-9,0.53
148,2011,10,2011-10,0.43
163,2011,11,2011-11,0.52
178,2011,12,2011-12,0.5
14,2010,1,2010-1,0.75
29,2010,2,2010-2,0.78
44,2010,3,2010-3,0.52
59,2010,4,2010-4,0.57
74,2010,5,2010-5,0.43
89,2010,6,2010-6,0.0
104,2010,7,2010-7,0.01
119,2010,8,2010-8,0.04
134,2010,9,2010-9,0.45
149,2010,10,2010-10,0.75
164,2010,11,2010-11,0.83
179,2010,12,2010-12,0.63
